category,top_keys
PC,"[('曼寧格', 10), ('瓦雷莎', 9), ('伊安珊', 6), ('海咲', 4), ('菲歐娜', 3), ('七海', 3), ('提爾', 3), ('白熾龍', 3), ('彌賽亞', 3), ('山大王', 3), ('橫山光輝', 3), ('趙雲', 3), ('珍艾碧絲', 3), ('加納奇', 3), ('蘇丹', 3), ('伊莉絲', 2), ('綺莉卡', 2), ('Steam', 2), ('泡狐龍', 2), ('王煌雷龍', 2), ('坎特蕾拉', 2), ('凱特‧曼寧格', 2), ('安德魯', 2), ('泰勒', 2), ('貝倫', 2), ('米卡埃拉', 2), ('埃忍', 2), ('賈西亞', 2), ('夏侯惇', 2), ('關羽', 2), ('孫尚香', 2), ('張遼', 2), ('曹操', 2), ('劉備', 2), ('克努特', 2), ('梅愛麗', 2), ('奇珍', 2), ('加里', 2), ('薩爾瓦多', 2), ('瑪夏', 1), ('馬克辛', 1), ('王大人', 1), ('海咲 vs 七海', 1), ('克拉特', 1), ('巫妖王', 1), ('阿薩斯．米奈希爾', 1), ('畢斯克', 1), ('烏莉特', 1), ('莎莉雅', 1), ('張力', 1), ('SnowLee ', 1), ('now Le', 1), ('Snow Le', 1), ('Nexon ', 1), (' Jamie White', 1), (' 4 ', 1), ('洛夫克拉夫', 1), ('軒尼詩', 1), ('格雷', 1), ('奧勒', 1), ('阿圖納西', 1), (' Dustin Browder', 1), ('CD Projekt', 1), ('傑洛特', 1), ('h ', 1), ('麗莎', 1), ('蘿莉', 1), ('阿麗莎', 1), ('Secret Door ', 1), (' PC', 1), ('田修平', 1), ('誅仙', 1), ('卡提希', 1), ('拉古那', 1), ('席德·梅爾', 1), ('席德‧梅爾', 1), ('pand）', 1), ('Xploit）', 1), (' J', 1), ('芬恩‧泰勒', 1), ('艾德‧碧奇', 1), ('艾蜜莉‧修特', 1), ('林肯', 1), ('庫姆塞', 1), ('尼爾‧拉邦', 1), ('睦仁天皇', 1), ('威廉明娜', 1), ('尼普蘭特', 1), ('克蕾西亞', 1), (' O ', 1), ('米卡', 1), ('Webzen', 1), ('Gunzilla Games ', 1), ('聞·沃陸', 1), ('四星', 1), (' Ben Clarke ', 1), ('Nintendo Switch ', 1), ('艾澤拉斯', 1), ('德魯伊', 1), ('阿索', 1), ('Aran', 1), ('Blizzard ', 1), ('好餓的謎姆', 1), ('00You', 1), ('我的小柯基', 1), ('はらぺこミーム）', 1), ('ぎるぐる GiLGuL', 1), ('深淵絕賭：千王處', 1), ('：オールインアビス イカサマサバキ', 1), ('ゆんゆん', 1), ('ほらふき山の魔理', 1), ('Lenovo ', 1), ('邰瀅潔', 1), ('姜子牙', 1), ('胡桃木', 1), ('金澤辰', 1), ('朴柄武', 1), ('佛萊明', 1), ('田剛一', 1), ('預定 20', 1), ('n ', 1), ('yStation ', 1), ('妮妮', 1), ('阿呆', 1), ('辻本良三', 1), ('mmersive', 1), ('ntriguing', 1), ('姜維', 1), ('許褚', 1), ('黃忠', 1), ('孫策', 1), ('典韋', 1), ('馬超', 1), ('周瑜', 1), ('徐庶', 1), ('孫權', 1), ('張角', 1), ('董卓', 1), ('龐統', 1), ('陸遜', 1), ('葛亮', 1), ('狼歸山', 1), ('呂布', 1), ('曹丕', 1), ('夏侯', 1), ('曹仁', 1), ('張飛', 1), ('吳國', 1), (' Xbox ', 1), ('蕾拉', 1), ('鄧肯', 1), ('米恩', 1), ('拉薩', 1), ('Rasa', 1), ('傑森‧摩莫亞', 1), ('傑克-布萊克', 1), ('傑瑞德・海斯', 1), ('阿文斯特魯普', 1), ('赫伯特', 1), ('喬爾・比洛斯', 1), ('保羅', 1), ('卡樂丹（Caladan', 1), ('穆赫帝', 1), ('PC', 1), ('厄拉科斯', 1), ('5GB ', 1), ('武内崇', 1), ('田辺トシノDrum', 1), ('Chorus', 1), ('本郷詩織', 1), ('河野陽介', 1), ('gs & Horns', 1), ('CAST', 1), ('杉山紀彰', 1), ('川澄綾子', 1), ('植田佳奈', 1), (' 加里', 1), ('加里喔', 1), ('伊布', 1), ('葉門', 1), ('珍艾碧', 1), ('Ray Tracing', 1), ('松原 健二', 1), ('llion ', 1), ('林英宇', 1)]"
動漫畫,"[('山田杏奈', 3), ('瑪莉·安東妮德', 3), ('奧斯卡', 3), ('鈴鹿', 2), ('奧斯卡·法蘭索瓦', 2), ('崔斯坦', 2), ('原作)', 2), ('芙莉蓮', 2), ('凡妮莎·寇比', 1), ('安東尼·麥基', 1), ('賽巴斯汀·史', 1), ('莉蒂西亞·萊特', 1), ('保羅·路德', 1), ('懷特·羅素', 1), ('烏爾塔', 1), ('貝克許', 1), ('普伊', 1), ('路易斯·普曼', 1), ('丹尼·拉米瑞茲', 1), ('喬瑟夫·昆恩', 1), ('大衛·哈伯', 1), ('溫斯頓·杜克', 1), ('漢娜·約翰－卡門', 1), ('湯姆·希德斯頓', 1), ('崔克·史都', 1), ('伊恩·麥克連', 1), ('艾倫·康明', 1), ('麗貝卡·羅梅恩', 1), ('詹姆斯·馬斯登', 1), ('查寧·塔', 1), ('小勞勃·道尼', 1), ('0 ', 1), ('查寧·塔圖', 1), ('大塚真一郎', 1), ('林裕介＆', 1), ('蜜莉雅 ', 1), ('李依 ', 1), ('萊歐斯', 1), ('瑪露希爾', 1), ('法琳', 1), ('凱美拉', 1), ('莎樂美', 1), ('星川莎拉', 1), ('日田艾莉絲', 1), ('田村隆平', 1), ('こだまはつみ', 1), ('泉光', 1), ('城戸志保', 1), ('鍋倉', 1), ('黃彥智', 1), ('伊藤潤二', 1), ('小畑健', 1), ('藤田和日郎', 1), ('ステファン', 1), ('鹿央士', 1), ('ChaO', 1), ('青木康浩', 1), ('呂志', 1), ('音勒', 1), ('村松崇', 1), (' 18 世', 1), ('池田理代子', 1), ('池田理', 1), ('安德', 1), ('沈星回', 1), ('祁煜', 1), ('加藤拓貳', 1), ('ガしガし', 1), (' ガしガし ', 1), ('崎湯葉', 1), ('月芳規', 1), ('ライ', 1), ('140 元', 1), ('同住日常', 1), ('乃壱天', 1), ('菱川さかく', 1), ('瀬川は', 1), ('結城涼', 1), ('なかむら', 1), ('あらた伊里', 1), ('星辰光輝', 1), ('兎月あい／定價', 1), (' Reload', 1), ('タダノなつ', 1), ('安房さとる', 1), ('梅原うめ、fu-ta、ikra', 1), ('ほげらむ', 1), ('利路亞寶貝', 1), ('梅けいと ', 1), ('ももやま ', 1), ('ハル ', 1), ('ぶんころり ', 1), ('ヨシキ ', 1), ('徳川レモン ', 1), (' 洸壱 ', 1), ('bel Blatt ', 1), ('斬魔凶刃', 1), ('塩野干支郎', 1), ('綾村切人', 1), ('ナフセ', 1), ('古屋庵 原作', 1), ('犬甘あんず\xa0', 1), ('小田 ヒロ\xa0', 1), ('春の日びより\xa0', 1), ('夏乃實\xa0', 1), ('ねこめたる', 1), ('萬年男二', 1), ('菊石 まれほ\xa0', 1), ('崎つばた', 1), ('七菜 なな', 1), ('260', 1), ('衣笠彰梧\xa0', 1), ('トモセシュンサ', 1), ('加藤浩嗣', 1), ('傑森‧摩莫亞', 1), ('傑克-布萊克', 1), ('傑瑞德・海斯', 1), ('久世蘭', 1), ('川井萌', 1), ('武内崇', 1), ('田辺トシノDrum', 1), ('Chorus', 1), ('本郷詩織', 1), ('河野陽介', 1), ('gs & Horns', 1), ('CAST', 1), ('杉山紀彰', 1), ('川澄綾子', 1), ('植田佳奈', 1), ('川田和樹', 1), ('娜烏西卡', 1), ('米娜', 1), ('夏油傑', 1), ('阿奎', 1), ('CV：鈴村健', 1), ('不死川實彌', 1), ('04・伊黑', 1), ('杉田智', 1), ('伊黑小芭內＆不死川實彌', 1), ('萬博', 1), ('日圓', 1), ('上川隆', 1), ('梵思娛樂', 1), ('菲雅．路德', 1), ('薩瑟蘭', 1), ('梅原裕一郎', 1), ('島﨑', 1), ('マヒト ', 1), ('海楠 ', 1), ('菲雅', 1), ('歐妲 Olda', 1), ('埃穆亞 Oumua ', 1), ('白帝', 1), ('みかみてれん', 1), ('小柳香穂', 1), ('田中', 1), ('桃太郎', 1), ('阿斯特洛', 1), ('史法納', 1), ('高瀬若／', 1), ('猫子 ', 1), ('：メーブ ', 1), ('小金 ', 1), ('河野紘一郎', 1), ('黒井つむじ', 1), ('崎谷', 1), ('端桜 ', 1), ('レオナールD', 1), ('上村夏樹', 1), ('亜逸', 1), ('川口士', 1), ('瀬戸夏樹', 1), ('ふーろ', 1), ('草子信', 1), ('秋橙／', 1), ('霧乃怡子', 1), ('伊藤美來', 1), ('阿波', 1), ('阿波羅', 1), ('ハートチューン', 1), ('掲載\u3000', 1), ('マガジン', 1), ('菅原雪絵', 1), ('下谷智', 1), ('月虹製\u3000\u3000', 1), ('伊藤美来', 1), ('白井ムク', 1), ('千影', 1), ('光莉', 1), ('宇佐見千影', 1), ('左京亞', 1), ('茉理', 1), (' LOVE♥', 1), ('藤原飛呂', 1), ('月島', 1), ('月島蓮', 1), ('奧敦', 1), ('星星', 1), ('絢君', 1), ('厄卡倫', 1)]"
電競,"[('曜越', 8), ('李宰赫', 7), ('林培熙', 6), ('羅德曼', 6), ('Riot ', 4), ('巴龍', 4), ('Stax', 4), ('麥麥', 3), ('ZmjjKK', 3), ('Faker ', 3), ('梅原大吾', 3), ('恩熙俊', 3), ('劉永赫', 3), ('高秉秀', 3), ('爆哥', 3), ('Lenovo ', 2), ('伏虎士', 2), ('成振宇', 2), ('振宇', 2), ('Chawy ', 2), ('Driver ', 2), ('賈克斯', 2), ('余錦亮', 2), ('iZu ', 2), ('曼谷', 2), ('stax', 2), ('京野妮子', 2), ('羅斯', 2), ('李弘一', 2), ('郭緒光', 2), ('邰瀅潔', 1), ('林英宇', 1), ('艾克', 1), ('吉茵珂絲', 1), ('Stromae ', 1), ('Pomme ', 1), ('白金', 1), ('伏虎', 1), ('軍魂', 1), ('莫米羅', 1), ('川上', 1), ('rock', 1), ('希維爾', 1), ('火龍魂', 1), ('四千', 1), ('anna ', 1), (' KC ', 1), ('伍明日', 1), ('：PC', 1), ('黃心磊', 1), ('Garena ', 1), ('卡桑帝', 1), ('Rest', 1), ('普朗克', 1), ('Rest ', 1), (' Apa ', 1), ('AngryBird', 1), ('辻本春弘', 1), ('梅原', 1), ('詹勳鴻', 1), ('徐翊銓', 1), ('劉紀葳', 1), ('林董（林培熙', 1), ('林董', 1), ('陳毓東', 1), ('黃培恆', 1), (' GP', 1), ('五千', 1), ('胖虎', 1), ('火神', 1), ('張地圖', 1), ('T1 ', 1), ('carpe ', 1), ('Sylvan ', 1), ('Meteor ', 1), ('Meteor', 1), (' stax ', 1), ('BuZz ', 1), ('nobody', 1), (' ex', 1), ('陳民亮', 1), ('Faker', 1), ('費薩爾王子', 1), (' ProSettings.net ', 1), (' Faker', 1), ('Jeffrey Chau ', 1), (' Faker ', 1), (' Team Razer', 1), ('Razer ', 1), ('SAT 柴SAT 柴', 1), (' 20', 1), ('萬泰銖', 1), ('魔王', 1), ('哈里', 1), ('Riot', 1), ('江祐誠', 1), ('松本脩平', 1), (' Abby ', 1), ('GodJJ ', 1), ('王雅克', 1), ('陸子玄', 1), ('湘湘', 1), ('阿森', 1), ('楓神武', 1), ('欣梅爾', 1), ('薩諾斯', 1), ('Emo 丶', 1), ('西北拾陸', 1), ('傑仕登', 1), ('伊瑟', 1), ('Wiki', 1), ('詹姆斯', 1), ('揚尼斯', 1), ('柯瑞', 1), ('杜蘭特', 1), ('麥葛瑞迪', 1), ('歐拉朱萬', 1), ('玫瑰', 1), ('聖德芬', 1), ('卡爾', 1), ('XX ', 1), ('5：2', 1), ('來賓', 1), ('永久', 1), ('徐展元', 1), ('羅技', 1), ('旭旭寶寶', 1), ('徐士傑', 1), ('沈宗樺', 1), ('邱梓銓', 1), ('神觀之夢', 1), (' Sin ', 1), ('Patrick', 1), ('戴侯', 1), ('侯知遠', 1), ('梅爾梅德拉達', 1), ('諾克薩斯', 1), ('啵緹RTA 教科', 1), ('城莉莉亞', 1), ('壓克力磚', 1), ('葛城莉莉', 1), ('魔術毛巾', 1), (' Luca Rossi ', 1), ('Bahal ', 1), ('Razer Blade 16Razer ', 1), ('zer', 1)]"
活動展覽,"[('陳漢玲', 11), ('米津', 7), ('皮克敏', 6), ('丁柏晏', 6), ('布里斯', 6), ('陳沛珛', 5), ('煌雷龍', 4), ('洛伊德', 4), ('漢玲', 3), ('森森鈴蘭', 3), ('安妮亞', 3), ('田中', 3), ('林祐一郎', 3), ('黃彥智', 2), ('任天堂', 2), ('芙莉蓮', 2), ('佐藤純一', 2), ('川口莉', 2), ('May’n ', 2), ('May’n', 2), ('考娜', 2), ('士郎', 2), ('彭德', 2), ('達米安', 2), ('梶裕貴', 2), ('莎樂美', 1), ('星川莎拉', 1), ('早川英樹', 1), ('Noah Garden ', 1), (' Micro', 1), ('好餓的謎姆', 1), ('00You', 1), ('我的小柯基', 1), ('はらぺこミーム）', 1), ('ぎるぐる GiLGuL', 1), ('深淵絕賭：千王處', 1), ('：オールインアビス イカサマサバキ', 1), ('ゆんゆん', 1), ('ほらふき山の魔理', 1), ('Shop ', 1), ('沈星回', 1), ('祁煜', 1), ('加藤浩嗣', 1), ('武内崇', 1), ('田辺トシノDrum', 1), ('Chorus', 1), ('本郷詩織', 1), ('河野陽介', 1), ('gs & Horns', 1), ('CAST', 1), ('杉山紀彰', 1), ('川澄綾子', 1), ('植田佳奈', 1), ('米娜', 1), ('夏油傑', 1), ('阿奎', 1), ('村漢堡', 1), ('萬博', 1), ('日圓', 1), ('上川隆', 1), ('梵思娛樂', 1), ('史萊姆', 1), ('桃毛獸王', 1), ('歐妲 Olda', 1), ('埃穆亞 Oumua ', 1), ('白帝', 1), ('桃太郎', 1), ('深淵', 1), ('湯米', 1), ('尊榮', 1), ('左京亞', 1), ('茉理', 1), (' LOVE♥', 1), ('藤原飛呂', 1), ('月島', 1), ('月島蓮', 1), ('奧敦', 1), ('星星', 1), ('絢君', 1), ('厄卡倫', 1), ('亞絲娜', 1), ('愛麗絲', 1), ('尤吉歐四人', 1), ('赤飯', 1), ('莉莉亞', 1), ('高橋洋樹', 1), ('呂音雋', 1), ('2005', 1), ('森口博子', 1), ('noc', 1), ('oNa', 1), ('yasa', 1), ('PlusOmeg', 1), ('篠原健太', 1), ('巴哈姆特', 1), ('udios', 1), ('- 4 ', 1), ('丁柏', 1), ('海倫娜', 1), ('北海道', 1), (' sajou no hana', 1), ('森口博', 1), ('煌雷', 1), ('80', 1), ('May’', 1), ('周杰倫', 1), (' Talking ', 1), (' May’n ', 1), ('堀正輝', 1), ('藤優（貝斯', 1), ('中島宏', 1), ('宮川純', 1), ('宮崎駿', 1), ('奧斯卡', 1), ('team', 1), ('瑪莉', 1), ('露莉亞', 1), ('690 元', 1), ('山谷狼', 1), ('杏仁ミル', 1), ('劉倩帆', 1), ('平野綾', 1), ('波爾凱尼恩', 1), (' Koana 考娜', 1), ('AngryBird', 1), ('辻本春弘', 1), ('梅原', 1), (' nagano ', 1), ('內藤裕紀', 1), ('lizzard', 1), ('中午', 1), ('坂脇慶', 1), (' 佐倉綾音', 1), ('深月菲莉希', 1), ('深月フェリシア', 1), (' 90 萬', 1), ('いつか上がる雨', 1), ('特羅伊', 1), ('小島秀夫', 1), ('貝琪', 1), ('老姜', 1), ('阿玲', 1), ('貝斯手', 1), (' X', 1), ('永昇太', 1), ('愛德華', 1), ('阿爾馮斯', 1), ('普萊德', 1), ('繆爾賽思', 1), ('中江徹', 1), ('梶尾桂三', 1), ('北谷', 1), ('岡義勇', 1), ('艾連', 1)]"
全部,"[('陳漢玲', 11), ('曼寧格', 10), ('瓦雷莎', 9), ('曜越', 8), ('李宰赫', 7), ('米津', 7), ('伊安珊', 6), ('林培熙', 6), ('羅德曼', 6), ('皮克敏', 6), ('丁柏晏', 6), ('布里斯', 6), ('陳沛珛', 5), ('海咲', 4), ('奧斯卡', 4), ('田中', 4), ('芙莉蓮', 4), ('Riot ', 4), ('巴龍', 4), ('Stax', 4), ('煌雷龍', 4), ('洛伊德', 4), ('菲歐娜', 3), ('七海', 3), ('提爾', 3), ('白熾龍', 3), ('彌賽亞', 3), ('Lenovo ', 3), ('山大王', 3), ('橫山光輝', 3), ('趙雲', 3), ('武内崇', 3), ('田辺トシノDrum', 3), ('Chorus', 3), ('本郷詩織', 3), ('河野陽介', 3), ('gs & Horns', 3), ('CAST', 3), ('杉山紀彰', 3), ('川澄綾子', 3), ('植田佳奈', 3), ('珍艾碧絲', 3), ('加納奇', 3), ('蘇丹', 3), ('黃彥智', 3), ('山田杏奈', 3), ('瑪莉·安東妮德', 3), ('麥麥', 3), ('ZmjjKK', 3), ('Faker ', 3), ('梅原大吾', 3), ('恩熙俊', 3), ('劉永赫', 3), ('高秉秀', 3), ('爆哥', 3), ('漢玲', 3), ('森森鈴蘭', 3), ('安妮亞', 3), ('林祐一郎', 3), ('伊莉絲', 2), ('綺莉卡', 2), ('Steam', 2), ('泡狐龍', 2), ('王煌雷龍', 2), ('坎特蕾拉', 2), ('凱特‧曼寧格', 2), ('安德魯', 2), ('泰勒', 2), ('貝倫', 2), ('米卡埃拉', 2), ('埃忍', 2), ('好餓的謎姆', 2), ('00You', 2), ('我的小柯基', 2), ('はらぺこミーム）', 2), ('ぎるぐる GiLGuL', 2), ('深淵絕賭：千王處', 2), ('：オールインアビス イカサマサバキ', 2), ('ゆんゆん', 2), ('ほらふき山の魔理', 2), ('邰瀅潔', 2), ('賈西亞', 2), ('夏侯惇', 2), ('關羽', 2), ('孫尚香', 2), ('張遼', 2), ('曹操', 2), ('劉備', 2), ('傑森‧摩莫亞', 2), ('傑克-布萊克', 2), ('傑瑞德・海斯', 2), ('克努特', 2), ('梅愛麗', 2), ('奇珍', 2), ('加里', 2), ('薩爾瓦多', 2), ('林英宇', 2), ('莎樂美', 2), ('星川莎拉', 2), ('鈴鹿', 2), ('奧斯卡·法蘭索瓦', 2), ('沈星回', 2), ('祁煜', 2), ('崔斯坦', 2), ('加藤浩嗣', 2), ('米娜', 2), ('夏油傑', 2), ('阿奎', 2), ('萬博', 2), ('日圓', 2), ('上川隆', 2), ('梵思娛樂', 2), ('歐妲 Olda', 2), ('埃穆亞 Oumua ', 2), ('白帝', 2), ('桃太郎', 2), ('原作)', 2), ('左京亞', 2), ('茉理', 2), (' LOVE♥', 2), ('藤原飛呂', 2), ('月島', 2), ('月島蓮', 2), ('奧敦', 2), ('星星', 2), ('絢君', 2), ('厄卡倫', 2), ('亞絲娜', 2), ('愛麗絲', 2), ('尤吉歐四人', 2), ('伏虎士', 2), ('成振宇', 2), ('振宇', 2), ('Chawy ', 2), ('Driver ', 2), ('賈克斯', 2), ('AngryBird', 2), ('辻本春弘', 2), ('梅原', 2), ('余錦亮', 2), ('iZu ', 2), ('曼谷', 2), ('stax', 2), ('京野妮子', 2), ('羅斯', 2), ('李弘一', 2), ('郭緒光', 2), ('任天堂', 2), ('佐藤純一', 2), ('川口莉', 2), ('May’n ', 2), ('May’n', 2), ('考娜', 2), ('士郎', 2), ('彭德', 2), ('達米安', 2), ('梶裕貴', 2), ('瑪夏', 1), ('馬克辛', 1), ('王大人', 1), ('海咲 vs 七海', 1), ('克拉特', 1), ('巫妖王', 1), ('阿薩斯．米奈希爾', 1), ('畢斯克', 1), ('烏莉特', 1), ('莎莉雅', 1), ('張力', 1), ('SnowLee ', 1), ('now Le', 1), ('Snow Le', 1), ('Nexon ', 1), (' Jamie White', 1), (' 4 ', 1), ('洛夫克拉夫', 1), ('軒尼詩', 1), ('格雷', 1), ('奧勒', 1), ('阿圖納西', 1), (' Dustin Browder', 1), ('CD Projekt', 1), ('傑洛特', 1), ('h ', 1), ('麗莎', 1), ('蘿莉', 1), ('阿麗莎', 1), ('Secret Door ', 1), (' PC', 1), ('田修平', 1), ('誅仙', 1), ('卡提希', 1), ('拉古那', 1), ('席德·梅爾', 1), ('席德‧梅爾', 1), ('pand）', 1), ('Xploit）', 1), (' J', 1), ('芬恩‧泰勒', 1), ('艾德‧碧奇', 1), ('艾蜜莉‧修特', 1)]"
