category,top_keys
PC,"[('遊戲', 38), ('玩家', 20), ('新作', 14), ('影片', 13), ('系列', 12), ('世界', 11), ('工作室', 9), ('專案', 9), ('台灣', 7), ('團隊', 7), ('黃仁勳', 7), ('官方', 6), ('網站', 6), ('作品', 6), ('概念', 6), ('公司', 5), ('粉絲', 5), ('日本', 5), ('人中', 5), ('遊樂場', 5), ('環境', 5), ('動作', 4), ('起源', 4), ('社群', 4), ('全球', 4), ('平台', 4), ('人中之龍', 4), ('時候', 4), ('電玩', 4), ('東西', 4), ('任務', 4), ('目標', 4), ('經驗', 4), ('要素', 4), ('印第安納瓊斯', 4), ('線索', 4), ('謎團', 4), ('技能', 4), ('手機', 3), ('旗下', 3), ('頻道', 3), ('內容', 3), ('故事', 3), ('製作人', 3), ('橫山', 3), ('時間', 3), ('事情', 3), ('類型', 3), ('成員', 3), ('招式', 3), ('大型', 3), ('過程', 3), ('區域', 3), ('印第', 3), ('謎題', 3), ('七大', 2), ('媒體', 2), ('宇宙', 2), ('背景', 2), ('主角', 2), ('崔斯坦', 2), ('布里塔尼亞', 2), ('英雄', 2), ('風格', 2), ('整體', 2), ('主機', 2), ('機會', 2), ('山田理一郎', 2), ('新VR ', 2), ('經典', 2), ('代表', 2), ('工作', 2), ('淵源', 2), ('時代', 2), ('大學', 2), ('鐵拳', 2), ('心情', 2), ('資訊', 2), ('信心', 2), ('總部', 2), ('系統', 2), ('特色', 2), ('街道', 2), ('擂台', 2), ('元素', 2), ('可能性', 2), ('狀況', 2), ('動態', 2), ('夥伴', 2), ('基板', 2), ('顯示卡', 2), ('評論', 2), ('海外', 2), ('場景', 2), ('比賽', 2), ('兒子', 2), ('女兒', 2), ('人稱', 2), ('傳奇', 2), ('考古學家', 2)]"
動漫畫,"[('官方', 8), ('遊戲', 7), ('世界', 6), ('網站', 6), ('起源', 4), ('動畫', 4), ('魔法', 4), ('少女', 4), ('日本', 3), ('全球', 3), ('電視', 3), ('劇場版', 3), ('視覺圖', 3), ('孩子', 3), ('地區', 3), ('手機', 2), ('七大', 2), ('粉絲', 2), ('社群', 2), ('頻道', 2), ('本作', 2), ('宇宙', 2), ('故事', 2), ('背景', 2), ('崔斯坦', 2), ('玩家', 2), ('布里塔尼亞', 2), ('新作', 2), ('瓦爾普吉斯', 2), ('迴天', 2), ('吉伊卡哇', 2), ('吉伊卡哇燒', 2), ('公司', 1), ('網石', 1), ('集團', 1), ('旗下', 1), ('動作', 1), ('收集型', 1), ('媒體', 1), ('消息', 1), ('內容', 1), ('漫畫', 1), ('銷量', 1), ('主角', 1), ('梅里奧達斯', 1), ('伊麗莎白', 1), ('啟示', 1), ('騎士', 1), ('英雄', 1), ('風格', 1), ('提歐蕾', 1), ('時刻', 1), ('時空', 1), ('整體', 1), ('氛圍', 1), ('崔斯坦起', 1), ('王國', 1), ('視覺預告片', 1), ('七大罪：', 1), ('起源》', 1), ('影片', 1), ('平台', 1), ('行動', 1), ('裝置', 1), ('主機', 1), (' 谷口淳', 1), ('一郎', 1), ('導演', 1), ('川田和', 1), ('官方益智', 1), ('日本國', 1), ('系列', 1), ('粉絲帶來', 1), ('娛樂', 1), ('語言', 1), ('赤坂', 1), ('集英社', 1), ('委員', 1), ('人氣', 1), ('作品', 1), ('店鋪', 1), ('橫濱', 1), ('外皮', 1), ('甜點', 1), ('外觀', 1), ('八貓', 1), ('兔兔', 1), ('內餡', 1), ('紅豆', 1), ('奶油', 1), ('巧克力', 1), ('芝麻', 1), ('口味', 1), ('周邊', 1), ('商品', 1)]"
電競,"[('賽事', 12), ('全球', 11), ('官方', 9), ('遊戲', 8), ('新羅', 8), ('內容', 8), ('兵團', 8), ('戰場', 8), ('排行榜', 7), ('世界', 6), ('美國', 6), ('系列賽', 6), ('音樂', 5), ('時間', 5), ('韓國', 5), ('活動', 5), ('花郎徒', 5), ('核心', 5), ('技能', 5), ('現場', 5), ('日本', 5), ('選手', 5), ('英雄', 4), ('聯盟', 4), ('影片', 4), ('歌曲', 4), ('原聲帶', 4), ('奧術', 4), ('玩家', 4), ('軍魂', 4), ('回合', 4), ('專輯', 3), ('主題', 3), ('伏虎士', 3), ('方向', 3), ('期間', 3), ('效果', 3), ('敵人', 3), ('環境', 3), ('網站', 3), ('倫敦', 3), ('柏林', 3), ('洛杉磯', 3), ('福岡', 3), ('總決賽', 3), ('廠商', 2), ('單曲', 2), ('影集', 2), ('邀請賽', 2), ('體育館', 2), ('經典', 2), ('艾克', 2), ('觀眾', 2), ('系列', 2), ('時刻', 2), ('法國', 2), ('旗下', 2), ('戰意', 2), ('地圖', 2), ('少年', 2), ('星兵團', 2), ('戰術', 2), ('特性', 2), ('敵軍', 2), ('設計', 2), ('目標', 2), ('敵方', 2), ('傷害', 2), ('文化', 2), ('機制', 2), ('精銳', 2), ('血量', 2), ('實力', 2), ('造型', 2), ('戰力', 2), ('道具', 2), ('通行證', 2), ('禮包', 2), ('武將', 2), ('序幕', 2), ('隊伍', 2), ('獎勵', 2), ('跑車', 2), ('線上', 2), ('資格賽', 2), ('賽程', 2), ('比賽', 2), ('國家', 2), ('地區', 2), ('資訊', 2), ('冠軍', 2), ('動畫', 1), ('加拿大', 1), ('太平', 1), ('真人', 1), ('情感', 1), ('衝擊力', 1), ('製作人', 1), ('電視類', 1), ('角色', 1)]"
活動展覽,"[('官方', 19), ('商品', 15), ('造型', 13), ('音樂會', 12), ('活動', 11), ('商店', 11), ('設計', 9), ('系列', 9), ('主題', 8), ('周邊', 7), ('粉絲', 7), ('現場', 7), ('壓克力', 7), ('排球', 7), ('少年', 7), ('咒術', 7), ('福袋', 7), ('資訊', 6), ('迴戰', 6), ('同學', 6), ('鋼彈', 6), ('大阪', 6), ('脈脈', 6), ('東門', 6), ('地點', 6), ('戰士', 5), ('日本', 5), ('風格', 5), ('魔物', 5), ('娛樂', 5), ('台北場', 5), ('內容', 4), ('特典', 4), ('紀念', 4), ('台中', 4), ('國際', 4), ('英雄', 4), ('學院', 4), ('藍色', 4), ('孩子', 4), ('俄語', 4), ('金屬', 4), ('方形', 4), ('電腦', 4), ('海報', 4), ('玩偶', 4), ('圖案', 4), ('模型', 4), ('照護館', 4), ('獵人', 4), ('售價', 4), ('團員', 4), ('時間', 3), ('動畫', 3), ('監獄', 3), ('天官賜福', 3), ('福音', 3), ('福袋裡', 3), ('烏野', 3), ('綠谷', 3), ('背包', 3), ('人氣', 3), ('球員', 3), ('巧克力', 3), ('火龍', 3), ('方塊', 3), ('餅乾', 3), ('樂團', 3), ('梵思', 3), ('專頁', 3), ('遊戲', 2), ('公司', 2), ('韓國', 2), ('交響', 2), ('觀眾', 2), ('門票', 2), ('攤位', 2), ('期間', 2), ('羚邦', 2), ('怪獸', 2), ('艾莉', 2), ('假面', 2), ('騎士', 2), ('音駒', 2), ('吉祥物', 2), ('絨毛筆', 2), ('熱血', 2), ('夏油傑', 2), ('感覺', 2), ('桌墊', 2), ('抱枕', 2), ('爆豪', 2), ('大型', 2), ('花城', 2), ('畫面', 2), ('鄰座艾莉', 2), ('白色', 2), ('胸部', 2), ('數量', 2), ('戰士鋼彈', 2)]"
全部,"[('遊戲', 55), ('官方', 42), ('玩家', 27), ('世界', 24), ('系列', 24), ('日本', 18), ('全球', 18), ('影片', 18), ('網站', 16), ('內容', 16), ('新作', 16), ('商品', 16), ('活動', 16), ('粉絲', 15), ('造型', 15), ('賽事', 12), ('現場', 12), ('音樂會', 12), ('英雄', 11), ('時間', 11), ('主題', 11), ('設計', 11), ('商店', 11), ('資訊', 10), ('動畫', 9), ('風格', 9), ('工作室', 9), ('專案', 9), ('技能', 9), ('少年', 9), ('公司', 8), ('起源', 8), ('環境', 8), ('周邊', 8), ('新羅', 8), ('兵團', 8), ('戰場', 8), ('社群', 7), ('台灣', 7), ('作品', 7), ('團隊', 7), ('概念', 7), ('黃仁勳', 7), ('孩子', 7), ('排行榜', 7), ('韓國', 7), ('壓克力', 7), ('排球', 7), ('咒術', 7), ('福袋', 7), ('手機', 6), ('旗下', 6), ('動作', 6), ('頻道', 6), ('背景', 6), ('目標', 6), ('地區', 6), ('選手', 6), ('核心', 6), ('娛樂', 6), ('音樂', 6), ('美國', 6), ('系列賽', 6), ('迴戰', 6), ('同學', 6), ('鋼彈', 6), ('大阪', 6), ('脈脈', 6), ('東門', 6), ('地點', 6), ('故事', 5), ('騎士', 5), ('平台', 5), ('人中', 5), ('經典', 5), ('遊樂場', 5), ('大型', 5), ('廠商', 5), ('少女', 5), ('歌曲', 5), ('花郎徒', 5), ('期間', 5), ('國際', 5), ('戰士', 5), ('魔物', 5), ('台北場', 5), ('七大', 4), ('媒體', 4), ('宇宙', 4), ('崔斯坦', 4), ('布里塔尼亞', 4), ('時刻', 4), ('氛圍', 4), ('製作人', 4), ('人中之龍', 4), ('時候', 4), ('電玩', 4), ('東西', 4), ('任務', 4), ('成員', 4)]"
